Date,Open,High,Low,Close,Adj Close,Volume
2014-10-06,20.817699,20.869900,19.784599,19.826401,14.986977,43684826
2014-10-07,20.233299,20.306400,19.695900,19.695900,14.888330,25592894
2014-10-08,20.087200,20.175900,19.174200,19.528999,14.762170,19755192
2014-10-09,19.899401,20.238501,19.617701,19.909800,15.050020,16527953
2014-10-10,18.913300,18.913300,18.913300,18.913300,14.296760,16629919
2014-10-13,19.565500,20.749800,19.482000,20.431601,15.444455,28901206
2014-10-14,20.342899,20.869900,20.108101,20.713301,15.657395,24035816
2014-10-15,19.988100,20.238501,19.075100,19.581100,14.801552,28993588
2014-10-16,18.882000,19.565500,18.735901,18.887199,14.277028,22664076
2014-10-17,19.289000,19.742901,19.095900,19.617701,14.829224,21279112
2014-10-20,19.539400,19.664600,19.153299,19.153299,14.478178,18402044
2014-10-21,18.323700,18.323700,18.323700,18.323700,13.851073,34681601
2014-10-22,18.167200,18.819401,18.068100,18.209000,13.764372,18326528
2014-10-23,18.052401,18.156799,17.113300,17.238501,13.030766,34391038
2014-10-24,17.264601,18.198500,17.196800,17.692400,13.373869,26972300
2014-10-27,16.122000,17.514999,16.069799,17.499399,13.227975,55312314
2014-10-28,17.781099,18.375900,17.603701,18.339399,13.862940,23765186
2014-10-29,18.115000,18.480301,17.530701,17.614201,13.314754,18666732
2014-10-30,18.209000,19.017700,18.198500,18.809000,14.217916,24927437
2014-10-31,19.043699,19.471600,18.876801,19.471600,14.718781,17533614
2014-11-03,19.158501,19.398500,18.819401,19.221100,14.529428,13104834
2014-11-04,19.565500,19.774200,19.022900,19.455900,14.722769,13642452
2014-11-05,19.174200,19.706400,19.116800,19.169001,14.505669,18253313
2014-11-06,19.033300,19.059401,18.626400,18.756800,14.193744,15845821
2014-11-07,18.887199,18.955000,18.438499,18.834999,14.252918,13379681
2014-11-10,19.064600,19.226400,18.798500,18.934200,14.327986,10475779
2014-11-11,18.720301,19.174200,18.720301,19.049000,14.414858,9006483
