Date,Real,Predicted
2019-06-03,48.830002,48.417103
2019-06-04,49.110001000000004,48.329807
2019-06-05,48.389998999999996,48.572914
2019-06-06,48.799999,48.043278
2019-06-07,48.66,48.30873
2019-06-10,48.34,48.18683
2019-06-11,51.43,47.903393
2019-06-12,51.490002000000004,50.202946
2019-06-13,51.849998,50.303436
2019-06-14,51.400002,50.61094
2019-06-17,50.200001,50.351147
2019-06-18,52.0,49.528114
2019-06-19,52.299999,50.917503
2019-06-21,52.439999,51.218746
2019-06-24,52.400002,51.363205
2019-06-25,51.380001,51.377453
2019-06-26,51.580002,50.661118
2019-06-27,51.700001,50.810013
2019-06-28,51.82,50.90251
2019-07-01,53.650002,50.97163
2019-07-02,51.389998999999996,52.31483
2019-07-03,51.290001000000004,50.661674
2019-07-04,51.669998,50.52592
2019-07-05,50.360001000000004,50.79695
2019-07-08,50.950001,49.802475
2019-07-10,52.130001,50.144684
2019-07-11,52.049999,50.989323
2019-07-12,51.810001,50.916027
2019-07-15,52.689999,50.717716
2019-07-16,53.049999,51.379284
2019-07-17,52.689999,51.692753
2019-07-18,52.59,51.47044
2019-07-19,52.720001,51.437336
2019-07-22,52.450001,51.579487
2019-07-23,51.759997999999996,51.416187
2019-07-24,50.650002,50.917507
2019-07-25,50.490002000000004,50.076485
2019-07-26,50.23,49.89646
2019-07-29,50.259997999999996,49.642136
2019-07-30,50.009997999999996,49.57876
2019-07-31,49.810001,49.312008
2019-08-01,48.400002,49.080597
2019-08-02,47.84,47.955433
2019-08-05,46.0,47.411125
2019-08-06,46.619999,45.933464
2019-08-07,46.48,46.208935
2019-08-08,47.18,46.02866
2019-08-09,45.490002000000004,46.446545
2019-08-12,45.16,45.11345
2019-08-13,46.5,44.719646
2019-08-14,44.880001,45.693962
2019-08-15,43.889998999999996,44.493855
2019-08-16,43.689999,43.629543
2019-08-19,43.650002,43.407936
2019-08-20,43.84,43.354206
2019-08-21,44.150002,43.468082
2019-08-22,43.889998999999996,43.684986
2019-08-23,43.279999,43.48145
2019-08-26,42.799999,42.99697
2019-08-27,43.32,42.60684
2019-08-28,43.48,43.000797
2019-08-29,45.099998,43.161354
2019-08-30,45.57,44.434715
2019-09-02,46.009997999999996,44.882412
2019-09-03,45.52,45.28697
2019-09-04,46.52,44.997707
2019-09-05,46.52,45.84884
2019-09-06,46.450001,45.97503
2019-09-09,47.889998999999996,46.002003
2019-09-10,48.240002000000004,47.1807
2019-09-11,47.950001,47.558125
2019-09-12,49.689999,47.41016
2019-09-13,49.790001000000004,48.80245
2019-09-16,48.59,48.989517
2019-09-17,48.900002,48.15149
2019-09-18,48.400002,48.409832
2019-09-19,48.32,48.079956
2019-09-20,48.419998,48.003017
2019-09-23,48.099998,48.046207
2019-09-24,46.93,47.763042
2019-09-25,47.860001000000004,46.811718
2019-09-26,47.860001000000004,47.3958
2019-09-27,47.66,47.3622
2019-09-30,47.75,47.137756
2019-10-01,47.709998999999996,47.135696
2019-10-02,45.099998,47.066868
2019-10-03,45.439999,45.064198
2019-10-04,46.68,45.140003
